entity_id,entity_name,entity_type,mention_count,fraud_linked_mentions,distinct_sources,legal_section_count,district_count,average_quality_score,average_reliability_score,network_risk_score,risk_band,supporting_records,districts,legal_sections
swati-mining-private-limited,Swati Mining Private Limited,company,2,0,1,0,0,65.6,0.85,55.31,Medium,4311ba04513528eb | 4d445fb2828bc11e,,
kolkata's-srei-group,Kolkata's SREI Group,company,1,1,1,0,1,72.4,0.4,52.03,Medium,9bbf677cc69c4cb7,Kolkata,
rnm-infra-private-limited,RNM Infra Private Limited,company,1,0,1,0,1,81.6,0.85,48.19,Medium,eae2eecde0456c69,Hooghly,
srei-group,Srei Group,company,1,1,1,0,0,62.4,0.4,46.23,Medium,df5582ced0318e8d,,
ruia-group,Ruia Group,company,1,1,1,0,0,62.4,0.4,46.23,Medium,7501345f5ff81936,,
corporate-power-ltd,Corporate Power Ltd,company,1,1,1,0,0,62.4,0.4,46.23,Medium,96a7dd152acd9b1b,,
kalyanpur-cements-limited,Kalyanpur Cements Limited,company,1,0,1,0,0,82.0,1.0,45.76,Medium,15777783b7c8f17d,,
sancia-global-infra-project-limited,Sancia Global Infra Project Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,de61538d00d44449,,
small-tools-mfg.-co.-of-india-ltd,Small Tools Mfg. Co. of India Ltd,company,1,0,1,0,0,72.0,1.0,43.96,Low,02700114643a28ee,,
goldmine-food-products-limited,GoldMine Food Products Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,e081fbfaf0122b84,,
corporate-ispat-alloys-limited,Corporate Ispat Alloys Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,3e0b1dfbe3b8a445,,
kohlbros-communications-pvt.-ltd,Kohlbros Communications Pvt. Ltd,company,1,0,1,0,0,72.0,1.0,43.96,Low,b1704cf9a4e624a2,,
paper-trade-&-industries-private-limited,Paper Trade & Industries Private Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,92dd9520517eba63,,
begwani-trade-and-industries-private-limited,Begwani Trade and Industries Private Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,ec8c73f2b44d004c,,
iag-company-limited,IAG Company Limited,company,1,0,1,0,0,72.0,1.0,43.96,Low,a3021124d44c27de,,
raghav-sarees-private-limited,Raghav Sarees Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,fb93ab229e0d4550,,
hindusthan-small-tools-private-limited,Hindusthan Small Tools Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,a8b9d6572a009f22,,
sarnamoy-plastic-sack-manufacturing-private-limited,Sarnamoy Plastic Sack Manufacturing Private Limited,company,1,0,1,0,0,79.6,0.85,43.83,Low,54f82917f549fbe2,,
jewellery-limited,Jewellery Limited,company,1,0,1,0,0,68.0,1.0,43.24,Low,bbeae6b7d5462f12,,
agarwal-commodities-broker-private-limited,Agarwal Commodities Broker Private Limited,company,1,0,1,0,0,73.6,0.85,42.75,Low,6fa40fc431820b64,,
purbanchal-petroleum-pvt.-ltd,Purbanchal Petroleum Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,07f8750176e0947d,,
co.-pvt.-ltd,Co. Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,f64e087edfd1db51,,
contai-bus-syandicate-pvt.-ltd,Contai Bus Syandicate Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,a1407aa4da527c1c,,
kd-digital-signature-solution-pvt.-ltd,KD Digital Signature Solution Pvt. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,ba5603365a72be8f,,
agarpara-company-ltd,Agarpara Company Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,2e8ac5ca57bf27f0,,
chandra-royal-inn-p.-ltd,Chandra Royal Inn P. Ltd,company,1,0,1,0,0,64.0,1.0,42.52,Low,e8ebea251b994853,,
glory-furnishers-private-limited,Glory Furnishers Private Limited,company,1,0,1,0,0,71.6,0.85,42.39,Low,e6b91198c8480849,,
vincom-industries,Vincom Industries,company,1,0,1,0,0,71.6,0.85,42.39,Low,1785fa5291ddb219,,
insolvency-proceedings-initiated-against-birla-tyres-ltd,Insolvency Proceedings Initiated Against Birla Tyres Ltd,company,1,0,1,0,1,72.4,0.4,42.03,Low,f378b1e94a397964,Kolkata,
kaizen-power-ltd,Kaizen Power Ltd,company,1,0,1,0,0,65.6,0.85,41.31,Low,1408ca5ee5ad0038,,
confitech-sales-private-limited,Confitech Sales Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,318d1d886b2e1522,,
eskay-properties-development-private-limited,Eskay Properties Development Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,8f395b9452a58df7,,
multiple-hotels-private-limited,Multiple Hotels Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,e084dfe71e1103a0,,
west-bengal-housing-infrastructure-development-corporation-ltd,West Bengal Housing Infrastructure Development Corporation Ltd,company,1,0,1,0,0,65.6,0.85,41.31,Low,5bad37cd2df9e5e4,,
hansraj-agrofresh-private-limited,Hansraj Agrofresh Private Limited,company,1,0,1,0,0,65.6,0.85,41.31,Low,31ef8272a749f23a,,
ispat-industries,Ispat Industries,company,1,0,1,0,1,64.4,0.4,40.59,Low,29f3843bc9d564e4,Kolkata,
self-help-group,Self-Help Group,company,1,0,1,0,1,64.4,0.4,40.59,Low,6aa0f5c123a77b38,Bankura,
nicco-corp,Nicco Corp,company,1,0,1,0,0,62.4,0.4,36.23,Low,79c258cfa915c02f,,
central-inland-water-transport-corporation-limited,Central Inland Water Transport Corporation Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,2da3476b013d93fc,,
incab-industries,Incab Industries,company,1,0,1,0,0,62.4,0.4,36.23,Low,a9393bc6606c1f25,,
madras-high-court-orders-winding-up-of-spicejet-ltd,Madras High Court Orders Winding Up Of SpiceJet Ltd,company,1,0,1,0,0,62.4,0.4,36.23,Low,53b2df62bd0c489a,,
steel-ltd,Steel Ltd,company,1,0,1,0,0,62.4,0.4,36.23,Low,2acf8d9d9f59d1d5,,
radhagobind-commercial-limited,Radhagobind Commercial Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,a31cddf954dde72b,,
nclt-initiates-insolvency-proceedings-against-diksha-greens-limited,NCLT Initiates Insolvency Proceedings Against Diksha Greens Limited,company,1,0,1,0,0,62.4,0.4,36.23,Low,641dda1de84f299a,,
